LogID,CredentialID,EmployeeName,Date,Time,Timestamp,PunchType,DeviceID,VerificationMethod,WorkCode,Status
1001,10100,"AQUINO, DANILO P.",2025-06-02,07:45:48,2025-06-02 07:45:48,IN,DEV-001,Fingerprint,DAY,Valid
1002,10066,"VILLANUEVA, MARK T.",2025-06-02,07:47:27,2025-06-02 07:47:27,IN,DEV-003,Fingerprint,DAY,Valid
1003,12345,"RELATIVO, XAVIER D.",2025-06-02,07:50:37,2025-06-02 07:50:37,IN,DEV-001,Fingerprint,DAY,Valid
1004,10111,"CRUZ, PATRICIA J.",2025-06-02,07:55:05,2025-06-02 07:55:05,IN,DEV-001,Fingerprint,LEAVE,Forced
1005,10033,"GARCIA, ANNA L.",2025-06-02,07:57:05,2025-06-02 07:57:05,IN,DEV-001,Fingerprint,DAY,Valid
1006,10099,"BAUTISTA, CLAIRE V.",2025-06-02,08:04:49,2025-06-02 08:04:49,IN,DEV-001,Fingerprint,DAY,Valid
1007,10122,"DOMINGO, ALLEN S.",2025-06-02,08:05:04,2025-06-02 08:05:04,IN,DEV-002,Fingerprint,DAY,Valid
1008,10088,"FLORES, RODEL G.",2025-06-02,08:05:41,2025-06-02 08:05:41,IN,DEV-001,Fingerprint,DAY,Valid
1009,10044,"MENDOZA, CARLO B.",2025-06-02,08:11:21,2025-06-02 08:11:21,IN,DEV-001,RFID,DAY,Valid
1010,10055,"TORRES, LIZA M.",2025-06-02,08:19:26,2025-06-02 08:19:26,IN,DEV-002,Face,DAY,Valid
1011,10133,"RAMOS, JESSA Q.",2025-06-02,08:26:19,2025-06-02 08:26:19,IN,DEV-003,Fingerprint,DAY,Valid
1012,10144,"NAVARRO, EDGAR A.",2025-06-02,08:27:24,2025-06-02 08:27:24,IN,DEV-002,PIN,DAY,Unverified
1013,10022,"REYES, JOSE R.",2025-06-02,08:28:13,2025-06-02 08:28:13,IN,DEV-002,Fingerprint,DAY,Valid
1014,10077,"CASTILLO, NINA F.",2025-06-02,08:43:53,2025-06-02 08:43:53,IN,DEV-001,Face,DAY,Valid
1015,10011,"SANTOS, MARIA C.",2025-06-02,09:23:31,2025-06-02 09:23:31,IN,DEV-003,Fingerprint,DAY,Valid
1016,10122,"DOMINGO, ALLEN S.",2025-06-02,11:48:01,2025-06-02 11:48:01,OUT,DEV-002,Face,,Valid
1017,10077,"CASTILLO, NINA F.",2025-06-02,11:49:08,2025-06-02 11:49:08,OUT,DEV-001,RFID,,Valid
1018,12345,"RELATIVO, XAVIER D.",2025-06-02,11:51:14,2025-06-02 11:51:14,OUT,DEV-001,Fingerprint,,Valid
1019,10133,"RAMOS, JESSA Q.",2025-06-02,11:53:05,2025-06-02 11:53:05,OUT,DEV-002,Fingerprint,,Valid
1020,10088,"FLORES, RODEL G.",2025-06-02,12:01:22,2025-06-02 12:01:22,OUT,DEV-001,RFID,,Valid
1021,10033,"GARCIA, ANNA L.",2025-06-02,12:02:48,2025-06-02 12:02:48,OUT,DEV-001,Fingerprint,,Valid
1022,10100,"AQUINO, DANILO P.",2025-06-02,12:06:46,2025-06-02 12:06:46,OUT,DEV-001,Fingerprint,,Valid
1023,10099,"BAUTISTA, CLAIRE V.",2025-06-02,12:07:31,2025-06-02 12:07:31,OUT,DEV-001,Fingerprint,,Valid
1024,10144,"NAVARRO, EDGAR A.",2025-06-02,12:08:19,2025-06-02 12:08:19,OUT,DEV-001,Fingerprint,,Valid
1025,10111,"CRUZ, PATRICIA J.",2025-06-02,12:10:21,2025-06-02 12:10:21,OUT,DEV-001,RFID,,Valid
1026,10044,"MENDOZA, CARLO B.",2025-06-02,12:11:00,2025-06-02 12:11:00,OUT,DEV-001,Fingerprint,,Valid
1027,10066,"VILLANUEVA, MARK T.",2025-06-02,12:12:20,2025-06-02 12:12:20,OUT,DEV-001,Face,,Valid
